,,Transporte Interurbano,Transporte Interurbano,Transporte Interurbano,Transporte Interurbano,Condições Urbanas,Condições Urbanas,Condições Urbanas,Condições Urbanas,Condições Urbanas,Índice de Infraestrutura
,,Conectividade Via Rodovias,Número de Decolagens por Ano,Distância ao Porto Mais Próximo,Índice de Transporte Interurbano,Acesso à Internet Rápida,Preço Médio do m²,Custo da Energia Elétrica,Taxa de Homicídios,Índice de Condições Urbanas,
Município,UF,,,,,,,,,,
Ananindeua,PA,2,11119,18.000000000000018,5.564321998771707,1.0668621972206287,1784.4519407953394,0.76597,43.85559112525675,4.4215954978840974,4.498362341879354
Anápolis,GO,6,7909,889.0000000000222,5.62410706039463,1.9200355083903704,1806.4220447652317,0.63689,24.714646706647226,5.459627027408368,5.316860458137772
Aparecida de Goiânia,GO,3,7909,853.0000000000624,5.0018702856442445,2.4983617017034314,1575.715014003839,0.63689,31.569642631645415,5.687051421533849,5.022500551006748
Aracaju,SE,3,3461,216.0000000000014,4.9343235666584775,2.6625835917777505,2902.4162521780454,0.67799,49.805683497518636,5.199087096893804,4.608328688024298
Bauru,SP,4,593,347.000000000007,5.047948039089496,4.469560342252938,1179.1218714285717,0.67864,11.003232854605377,6.8471413902676455,5.9217819213708145
Belford Roxo,RJ,5,42453,30.000000000000032,6.690041791727428,1.3023528886594378,624.9522017695515,0.8022,27.560025541544793,5.389591504668212,6.059372124284594
Belo Horizonte,MG,8,8,337.00000000000045,5.86483410775155,3.9259754510706717,4005.2566377190533,0.61805,15.805897259296929,6.234013540724386,6.0736977512697115
Belém,PA,2,11119,23.000000000000007,5.4111603057981785,1.9204239189601837,1829.8919428010504,0.76597,24.096865416019437,4.8728798142311955,4.720633354736153
Betim,MG,5,8,334.00000000000045,5.24233329025308,2.3109967468401686,1004.9865794803075,0.61805,26.44303414928982,6.082439172944928,5.496571220206545
Blumenau,SC,2,5505,46.000000000000014,4.994877655462025,4.315882407523648,951.3069444881767,0.53224,8.187370707770906,8.096894155008602,6.813991314633389
Boa Vista,RR,3,1259,698.0000000000445,4.838635570490982,1.6951815314562142,1705.0269185533666,0.58017,30.00519937424271,5.691427999771463,4.904060834512841
Brasília,DF,13,38790,880.0000000000281,7.8508975332606274,3.110341673870715,1343.3372212692968,0.57487,14.639703327866338,6.662620812940703,7.8740015847245655
Camaçari,BA,3,20480,38.000000000000014,5.635550278487628,1.5721747173423715,1490.3375219796717,0.74949,78.58787612222193,4.701317801715866,4.7600202489013315
Campina Grande,PB,4,873,128.0,5.117489619261042,2.3932001063238526,2261.66339340216,0.568994603,25.61438271754102,5.9490276477615,5.3040241287450485
Campinas,SP,10,49496,142.00000000000122,7.571066694807481,3.8484897039576142,1796.3411795226568,0.67864,13.080049082884184,6.248778862224334,7.356820594918552
Campo Grande,MS,6,3959,759.0000000000526,5.527630388760268,3.0293635050616756,827.3462825788752,0.8125599999999998,17.685570212259595,5.820318526636989,5.51385086656971
Campos dos Goytacazes,RJ,9,261,150.0000000000015,6.125696772822453,1.873910652627161,2138.342784958607,0.83802,26.037466748794795,4.513828364388412,4.985671995313711
Canoas,RS,5,18869,17.000000000000004,6.42268810269696,3.8080250937871716,2574.762756964231,0.64309,15.726507457223898,6.172633801205029,6.443853609829277
Carapicuíba,SP,2,36387,72.00000000000047,5.66870158661914,2.4061128584643847,1786.6218118711488,0.59449,9.374036386062288,6.385961686672994,6.040755246895455
Cariacica,ES,1,9029,18.000000000000018,5.304369112530306,1.9376421428479023,1098.7540314432365,0.61051,42.43263172874164,5.8052265329887,5.336142036176177
Caruaru,PE,5,408,120.00000000000048,5.320062647041741,1.4510279063093114,1722.7379108639318,0.7358,44.67392098943259,4.701920152014951,4.525251516551574
Cascavel,PR,5,959,474.0000000000025,5.2549346189962485,3.6958071609441996,843.1282487552346,0.55881,19.638590425294506,7.2564020024276035,6.381236779243802
Caucaia,CE,4,13382,38.000000000000014,5.665407751794371,1.4427813226787525,1972.1757461477268,0.73145,81.58994681744994,4.5781030851498095,4.690415974049758
Caxias do Sul,RS,3,426,100.0,4.926423852479633,3.6231793567506054,784.0684441747759,0.64309,20.812806941166585,6.764316046502931,5.769425228077356
Contagem,MG,3,8,340.0000000000041,4.826437358727688,2.415649500110559,2950.760330323853,0.61805,13.207706771101538,5.826370818671557,4.995575419492255
Cuiabá,MT,5,8574,1142.0,5.429987402562517,3.3615730243387736,844.7017363354001,0.82512,19.403028155237052,5.847122852222945,5.461035750878633
Curitiba,PR,9,13739,60.00000000000024,6.59004469112318,4.1329421721767705,2789.359336123456,0.55881,14.513226386980667,6.831111895472688,7.0595704222518885
Diadema,SP,2,36387,44.00000000000005,5.780788098295224,2.4454452333837735,2696.657095576725,0.59449,12.105692003259225,6.058889420035205,5.880468513321252
Duque de Caxias,RJ,9,42453,34.000000000000064,7.470761054741515,1.931890829943332,1148.032774114265,0.817278973,36.68840355952828,4.874551750026344,6.257454553430508
Feira de Santana,BA,5,20480,91.00000000000074,5.8564052031275455,1.2140290046418323,1179.3388754534462,0.74949,82.51790157777432,4.71489439509348,4.934805142330969
Florianópolis,SC,7,8633,70.00000000000041,6.0167543337315115,5.421149840084875,3512.0802979104888,0.53224,13.552129233104367,7.493301658429029,7.125851071112497
Fortaleza,CE,9,13382,10.0,7.637920008859764,2.463895529725445,3355.0992005173125,0.73145,48.75358392478188,4.845971573098669,6.360774606159309
Franca,SP,5,3320,395.0000000000083,5.319412191997179,3.8353205648478967,2076.0286140576777,0.67864,6.693832470107854,6.71370559770948,6.024691600316603
Goiânia,GO,11,7909,871.0000000000501,6.662466571291431,3.4658324044468274,1895.9939243610825,0.63689,28.5415646177166,5.98758612239528,6.484659194934634
Gravataí,RS,4,18869,32.0,5.865393501952935,2.4071276491434492,1214.9384978383114,0.64309,18.909946631928396,5.939213227905988,5.854320817493821
Guarujá,SP,2,36387,6.000000000000003,7.60619700273428,4.071349664745505,4868.488473571546,0.622065737,9.8468507002034,6.508747428793364,7.576837194077809
Guarulhos,SP,6,83133,64.0,7.691832097186274,3.067656728084551,2552.9562752462616,0.63592,7.9020768936152646,6.393949786060401,7.555094499509561
Itaquaquecetuba,SP,5,83133,56.00000000000018,7.512526718665628,1.9402292907603105,871.3398217146041,0.63592,13.453553584712543,6.241380854401597,7.30765927225308
Jaboatão dos Guararapes,PE,9,30800,18.000000000000018,7.510484576289648,0.708806039391,3165.3852605786446,0.7358,39.08172015801386,4.210246449647411,5.791785685292772
Joinville,SC,3,1092,31.000000000000036,5.225374573773182,3.812438400021167,1867.4220612645242,0.53224,12.237311231205803,7.156291162672382,6.284558175600746
João Pessoa,PB,3,4193,22.000000000000025,5.470388003749178,3.1537607350968035,3755.256992630264,0.59692,35.480917805365976,5.823196964001927,5.473318787623582
Juiz de Fora,MG,3,42453,131.0000000000007,5.948897179628726,3.9506503535734816,1240.7315969570996,0.61805,12.813142821523309,6.83890406888902,6.5873602595347815
Jundiaí,SP,6,367,106.0000000000005,5.540606766955791,3.9795191305468047,1907.0757439361946,0.61994,9.369107709604506,6.80313350342184,6.256282120397037
Limeira,SP,8,49496,187.0,7.134349493599775,2.8441838839318754,637.2772838526803,0.62258,7.078894276713977,7.52220766821409,7.980646904238595
Londrina,PR,6,2500,325.00000000000813,5.513404937905186,4.024804173050769,1642.7100959829363,0.55881,19.9700449326011,6.87057991627434,6.286287238098013
Macapá,AP,3,1724,87.00000000000014,4.977879511375843,1.911679177267654,1810.6774086268251,0.53981,41.542469996573224,5.962764672248671,5.210177048568146
Maceió,AL,4,6969,12.000000000000005,6.227891176875763,1.6653644785706045,3391.7024633089804,0.75049,41.973755255201404,4.485227691720734,5.040541206613044
Manaus,AM,4,10526,60.00000000000024,5.471516710004132,2.1441910401289417,1547.7330136839985,0.80372,36.30475246497744,4.806783453414402,4.716353820512255
Marabá,PA,2,1048,476.0000000000122,4.6342122096861,0.8926073474609266,896.6071685184205,0.76597,53.18705156015351,4.81136745442278,4.095503156065214
Maringá,PR,5,2267,402.00000000000426,5.29248281920478,4.246767261130152,1387.9712154788283,0.55881,9.622610385087704,7.448604502566433,6.552531799705152
Mauá,SP,1,36387,36.0000000000001,5.637224592120266,2.2279786185064094,2535.838362016652,0.59449,8.718667289428616,6.232024022694561,5.902515808801533
Mogi das Cruzes,SP,3,83133,45.00000000000005,7.1526578477177685,3.2364729458917836,1716.9036002423547,0.637558772,9.438372912308736,6.465173204500333,7.2062048245063774
Montes Claros,MG,4,1153,539.0000000000243,5.048953563109911,1.6653596117639733,1932.3488040736245,0.61805,7.9046081470161305,6.06900669358927,5.3423784317174885
Mossoró,RN,5,283,33.0,5.595547310875803,2.2630352346342235,611.2444950971959,0.67223,66.49286353821036,6.1679627906592085,5.823680441734384
Natal,RN,4,4193,7.0000000000000036,6.913240053434641,2.8958334262658525,1745.9218475382563,0.67223,34.23634003488315,5.5831357832372035,6.370082480578604
Niterói,RJ,5,42453,7.0000000000000036,8.078999544578801,4.381449221538122,3777.3033371691604,0.83802,15.667887214423743,5.481064589667108,7.163135596072795
Nova Iguaçu,RJ,7,42453,42.000000000000014,6.984488739533738,1.989872641715169,2251.872004824754,0.8022,30.894561103384103,4.611632925780759,5.6988807977549065
Olinda,PE,3,30800,7.0000000000000036,7.3719471655591375,1.1980956686493927,2741.239649826737,0.7358,30.73140749846343,4.4910583618204125,5.897861155786979
Osasco,SP,3,36387,70.00000000000041,5.881346983663845,3.5559544244027896,3993.5346494762293,0.59449,11.833003529941776,6.391811972009256,6.203658873859716
Palmas,TO,4,1811,944.0000000000044,5.0553376143460325,2.2764042648931384,1359.1664913252123,0.66799,33.82809582925109,5.512680245577332,4.932358379696529
Paulista,PE,6,30800,14.000000000000007,7.088943977085277,0.851756653676403,2422.807915745287,0.7358,27.0094592468813,4.433608835327943,5.644030135084503
Pelotas,RS,3,255,19.000000000000007,5.46278614727084,3.5487659455654894,1083.5662558760005,0.6297,11.342946723051776,6.795387379873048,6.192486201555986
Petrolina,PE,4,1464,480.0000000000077,5.059633975314798,1.1336414634417817,1318.9269894004112,0.7358,40.9046892913193,4.751348739023464,4.367936375511547
Petrópolis,RJ,4,42453,54.00000000000006,6.294550506928135,3.978550777485479,1686.2306114653911,0.826959994,7.813924413304509,6.121041369471341,6.309852456875161
Piracicaba,SP,7,49496,205.00000000000023,6.920781884457129,3.885961854853452,957.5336528246655,0.67864,7.555907622935835,7.100407935019144,7.50693665333776
Ponta Grossa,PR,5,8,144.00000000000094,5.2924318380296,3.5579091400576304,301.94235743411843,0.55881,16.163282595488774,9.144902802614919,7.8172013687406965
